"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.683784250E0,4.273189053E-1,-1.120870310E-1,4.511869472E-1,6.314543615E-1
1.693831250E0,4.076534034E-1,-8.923669696E-2,4.875966820E-1,6.417904718E-1
1.703878250E0,4.004241984E-1,-7.209616899E-2,5.029807064E-1,6.469366176E-1
1.713925250E0,3.775551532E-1,-6.998707831E-2,5.124917874E-1,6.403857564E-1
1.723972250E0,3.612272421E-1,-7.927596509E-2,5.327561903E-1,6.485360108E-1
1.734019250E0,3.506274095E-1,-1.177570760E-1,5.369620925E-1,6.520234643E-1
1.744066250E0,3.294933794E-1,-1.535320956E-1,5.486305037E-1,6.581287268E-1
1.754113250E0,3.182753500E-1,-1.783377385E-1,5.507597673E-1,6.606359578E-1
1.764160250E0,3.064861938E-1,-2.332103491E-1,5.478449303E-1,6.696677696E-1
1.774207250E0,3.057465211E-1,-2.864486629E-1,5.405236316E-1,6.838856395E-1
1.784254250E0,2.865740857E-1,-3.296250880E-1,5.598375696E-1,7.100672570E-1
1.794301250E0,2.639652416E-1,-3.602001786E-1,6.052113783E-1,7.521320562E-1
1.804348250E0,2.479536648E-1,-3.440981162E-1,6.745961934E-1,7.968466337E-1
1.814395250E0,2.481909156E-1,-3.248122448E-1,7.103326213E-1,8.195572938E-1
1.824442250E0,2.354796535E-1,-3.279235482E-1,6.615317595E-1,7.749895415E-1
1.834489250E0,1.970551144E-1,-3.904712141E-1,5.917975733E-1,7.358823648E-1
1.844536250E0,1.353906704E-1,-4.575101262E-1,5.339001980E-1,7.160276327E-1
1.854583250E0,8.799635634E-2,-5.018022001E-1,5.086308709E-1,7.198987217E-1
1.864630250E0,7.113488674E-2,-5.105180597E-1,4.945358652E-1,7.143210646E-1
1.874677250E0,8.688099995E-2,-4.600203359E-1,4.595566517E-1,6.560177846E-1
1.884724250E0,1.063373177E-1,-3.845438915E-1,3.839498144E-1,5.537139060E-1
1.894771250E0,1.247980008E-1,-3.430959034E-1,3.712134093E-1,5.206618242E-1
1.904818250E0,1.441435137E-1,-3.572765708E-1,4.512003958E-1,5.933006808E-1
1.914865250E0,1.569132480E-1,-3.982392401E-1,6.181015652E-1,7.518416088E-1
1.924912250E0,1.571421665E-1,-4.620142365E-1,7.732100701E-1,9.143328867E-1
1.934959250E0,1.442147036E-1,-5.239906293E-1,8.419125152E-1,1.002088191E0
1.945006250E0,1.422642186E-1,-5.628763676E-1,8.589296669E-1,1.036739642E0
