"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.203453588E0,-1.999999949E-4,-8.299999684E-2,-3.606999815E-1,3.701263515E-1
2.213380150E0,4.449999705E-2,-3.610000014E-2,-3.458999991E-1,3.506141314E-1
2.223306713E0,-9.499999695E-3,1.399999950E-3,-3.860999942E-1,3.862193878E-1
2.233233275E0,-5.399999768E-2,3.900000080E-2,-4.162999988E-1,4.215954089E-1
2.243158275E0,-3.969999775E-2,8.669999987E-2,-4.298000038E-1,4.402510909E-1
2.253084838E0,-8.449999988E-2,1.052000001E-1,-4.066999853E-1,4.284999043E-1
2.263011400E0,-1.595000029E-1,1.140000001E-1,-3.967999816E-1,4.425906419E-1
2.272937963E0,-1.655000001E-1,9.349999577E-2,-4.456999898E-1,4.845420314E-1
2.282864525E0,-1.925999969E-1,1.125999987E-1,-4.239999950E-1,4.791132583E-1
2.292791088E0,-2.198999971E-1,9.250000119E-2,-3.845999837E-1,4.525808286E-1
2.302716088E0,-2.184999883E-1,1.216999963E-1,-4.174000025E-1,4.865962352E-1
2.312642650E0,-2.172999978E-1,1.508999914E-1,-4.132999778E-1,4.907208657E-1
2.322569213E0,-2.263000011E-1,1.899999976E-1,-4.515999854E-1,5.396797535E-1
2.332495775E0,-2.061999887E-1,1.997999996E-1,-4.921000004E-1,5.697375585E-1
2.342422338E0,-1.770000011E-1,2.195999920E-1,-5.066999793E-1,5.799120846E-1
2.352348900E0,-1.574999988E-1,1.903999895E-1,-5.029999614E-1,5.604171364E-1
2.362275463E0,-1.383000016E-1,1.907999963E-1,-4.942999780E-1,5.475983905E-1
2.372200463E0,-1.386999935E-1,1.127999946E-1,-4.588999748E-1,4.924943795E-1
2.382127025E0,-1.196999997E-1,8.389999717E-2,-4.645999968E-1,4.870528272E-1
2.392053588E0,-1.502999961E-1,1.239999980E-1,-4.366999865E-1,4.781976229E-1
2.401980150E0,-1.423999965E-1,8.590000123E-2,-4.027999938E-1,4.357802246E-1
2.411906713E0,-1.259000003E-1,4.800000042E-2,-3.916999996E-1,4.142266285E-1
2.421833275E0,-7.090000063E-2,8.889999986E-2,-3.149999976E-1,3.348955338E-1
2.431759838E0,-8.540000021E-2,7.119999826E-2,-2.412000000E-1,2.655937496E-1
2.441684838E0,-1.260000002E-2,7.360000163E-2,-2.321999967E-1,2.439109647E-1
2.451611400E0,3.139999881E-2,1.052999943E-1,-1.779999882E-1,2.091842359E-1
2.461537963E0,4.580000043E-2,1.472000033E-1,-1.296000034E-1,2.013992102E-1
2.471464525E0,9.889999777E-2,1.504999995E-1,-6.709999591E-2,1.921818640E-1
2.481391088E0,1.340999901E-1,1.533000022E-1,-3.590000048E-2,2.068151543E-1
2.491317650E0,1.595999897E-1,2.153999954E-1,1.989999972E-2,2.688221061E-1
2.501244213E0,1.563999951E-1,1.897999942E-1,1.202999949E-1,2.737829159E-1
2.511169213E0,1.739999950E-1,2.027999908E-1,2.493999898E-1,3.655190685E-1
2.521095775E0,1.532000005E-1,1.772999913E-1,4.201000035E-1,4.810296664E-1
2.531022338E0,1.627999991E-1,1.710999906E-1,4.490999877E-1,5.074148653E-1
2.540948900E0,1.630000025E-1,1.055999994E-1,5.133999586E-1,5.489078959E-1
2.550875463E0,1.735999882E-1,1.383000016E-1,5.970000029E-1,6.369245244E-1
2.560802025E0,1.650999933E-1,1.705999970E-1,6.061999798E-1,6.510305540E-1
2.570728588E0,1.468999982E-1,1.730999947E-1,6.786999702E-1,7.156653319E-1
2.580653588E0,1.385999918E-1,2.144999951E-1,7.558000088E-1,7.977805832E-1
2.590580150E0,1.298999935E-1,1.669999957E-1,8.287000060E-1,8.552816535E-1
2.600506713E0,1.115999967E-1,1.189999953E-1,8.385999799E-1,8.543216516E-1
2.610433275E0,1.122999936E-1,1.387999952E-1,7.870999575E-1,8.070954530E-1
2.620359838E0,9.319999814E-2,1.481000036E-1,7.421999574E-1,7.625487705E-1
2.630284838E0,1.423999965E-1,1.468999982E-1,7.042999864E-1,7.334138254E-1
2.640211400E0,1.620000005E-1,1.647000015E-1,6.136999726E-1,6.557421346E-1
2.650137963E0,1.621000022E-1,1.132999957E-1,3.907999992E-1,4.379930811E-1
2.660064525E0,4.574999809E-1,-1.937000006E-1,-6.588000059E-1,8.251323352E-1
2.669991088E0,8.316999674E-1,-9.799999744E-2,-1.831900001E0,2.014245876E0
2.679917650E0,8.194999695E-1,1.252000034E-1,-3.098599911E0,3.207581121E0
2.689844213E0,2.721999884E-1,-6.169999763E-2,-3.051199913E0,3.063938745E0
2.699770775E0,-6.552000046E-1,-1.387999952E-1,-2.387500048E0,2.479659042E0
2.709695775E0,-1.296100020E0,2.190000005E-2,-1.582199931E0,2.045412304E0
2.719622338E0,-1.510800004E0,1.263999939E-1,-8.837999701E-1,1.754877773E0
2.729548900E0,-1.529500008E0,5.689999834E-2,5.777999759E-1,1.635989210E0
2.739475463E0,-1.481499910E0,-1.375000030E-1,1.627999902E0,2.205477707E0
2.749402025E0,-7.143999934E-1,9.300000034E-3,1.161399961E0,1.363562873E0
2.759328588E0,2.840000018E-2,2.264999896E-1,3.208000064E-1,3.937276335E-1
2.769253588E0,3.463000059E-1,4.122999907E-1,3.314999938E-1,6.323031095E-1
2.779180150E0,5.005999804E-1,4.792999923E-1,3.419999778E-1,7.728472086E-1
2.789106713E0,6.150000095E-1,4.292999804E-1,5.799999926E-3,7.500380823E-1
2.799033275E0,6.538999677E-1,3.596999943E-1,-5.599999800E-3,7.463247374E-1
2.808959838E0,7.239999771E-1,2.997999787E-1,-2.611999810E-1,8.260032834E-1
2.818886400E0,7.433999777E-1,1.631999910E-1,-4.853999913E-1,9.027130859E-1
2.828812963E0,3.747999966E-1,-8.460000157E-2,-9.502999783E-1,1.025037680E0
2.838737963E0,-1.693999916E-1,-5.148999691E-1,-1.397699952E0,1.499127577E0
2.848664525E0,-2.974999845E-1,-5.216999650E-1,-1.011500001E0,1.176354260E0
2.858591088E0,-2.960000001E-2,-2.721999884E-1,-6.902999878E-1,7.426190590E-1
2.868517650E0,6.499999762E-2,1.069999952E-2,-7.479999959E-2,9.967211054E-2
2.878444213E0,-7.469999790E-2,3.542000055E-1,5.666999817E-1,6.724482157E-1
2.888370775E0,-8.859999478E-2,4.526999891E-1,7.710999846E-1,8.985446152E-1
2.898297338E0,-6.639999896E-2,4.927999973E-1,7.527999878E-1,9.022020942E-1
2.908222338E0,-3.680000082E-2,4.845999777E-1,9.811999798E-1,1.094963369E0
2.918148900E0,-1.869999990E-2,2.628000081E-1,1.107399940E0,1.138309344E0
2.928075463E0,8.700000122E-3,3.839999810E-2,1.334800005E0,1.335380584E0
2.938002025E0,-4.209999740E-2,-1.893000007E-1,1.676100016E0,1.687281293E0
2.947928588E0,3.249999881E-2,-2.911999822E-1,1.897499919E0,1.919989485E0
2.957855150E0,2.154999971E-1,-3.100000024E-1,1.020499945E0,1.088099438E0
